Date,Open,Close,High,Low,Volume
20100104 000000,3592.468,3535.229,3597.75,3535.23,66101080
20100105 000000,3545.186,3564.038,3577.53,3497.66,85809641
20100106 000000,3558.7,3541.727,3588.83,3541.17,78473125
20100107 000000,3543.16,3471.456,3558.56,3452.77,80350037
20100108 000000,3456.908,3480.13,3482.08,3426.7,60790253
20100111 000000,3593.106,3482.052,3594.53,3465.32,89980172
20100112 000000,3477.842,3534.916,3535.41,3437.66,93743278
20100113 000000,3448.291,3421.144,3490.11,3415.69,112457901
20100114 000000,3433.472,3469.051,3470.32,3411.81,83353252
20100115 000000,3472.524,3482.738,3500.07,3448.66,72543102
20100118 000000,3471.777,3500.684,3501.26,3458.04,82854307
20100119 000000,3506.806,3507.482,3528.39,3497.09,74883232
20100120 000000,3512.246,3394.434,3515.45,3387.82,92495146
20100121 000000,3397.043,3408.574,3425.18,3364.72,70595068
20100122 000000,3364.452,3366.197,3390.8,3293.19,88933404
20100125 000000,3340.013,3328.014,3372.43,3326.27,56849171
20100126 000000,3328.113,3242.797,3341.2,3222.14,61752231
20100127 000000,3243.038,3198.566,3255.12,3183.36,52691394
20100128 000000,3195.289,3206.57,3220.31,3168.46,46990716
20100129 000000,3190.315,3204.155,3249.45,3176.92,50262613
20100201 000000,3198.23,3152.707,3198.31,3116.44,57001380
20100202 000000,3170.778,3146.189,3211.94,3143.09,50130033
20100203 000000,3160.712,3230.715,3231.1,3094.57,64798894
20100204 000000,3206.431,3218.802,3242.52,3190.44,58972726
20100205 000000,3147.721,3153.087,3177.42,3129.92,59105845
20100208 000000,3152.253,3150.988,3172.31,3133.81,37355951
20100209 000000,3147.761,3169.19,3178.95,3144.48,35953158
20100210 000000,3195.142,3214.13,3214.46,3182.83,34219894
20100211 000000,3216.688,3220.398,3238.35,3207.17,35791052
20100212 000000,3232.879,3251.278,3253.2,3228.74,34058238
20100222 000000,3248.947,3233.345,3261.95,3232.78,38283772
20100223 000000,3225.393,3198.634,3225.39,3152.93,42742898
20100224 000000,3177.082,3244.483,3244.82,3165.13,49989437
20100225 000000,3252.153,3292.128,3294.14,3249.33,67586617
20100226 000000,3286.095,3281.666,3301.15,3273.69,52107288
20100301 000000,3290.007,3324.423,3330.38,3287.56,60504520
20100302 000000,3327.103,3311.236,3339.89,3299.68,57034374
20100303 000000,3313.023,3335.081,3335.65,3293.92,60622732
20100304 000000,3338.674,3250.573,3345.91,3244.98,69346810
20100305 000000,3253.164,3259.764,3276.4,3239.68,45629138
20100308 000000,3268.397,3286.178,3293.93,3258.03,41540876
20100309 000000,3285.62,3305.863,3322.51,3255.98,54199486
20100310 000000,3304.036,3279.694,3321.08,3267.76,46421079
20100311 000000,3282.199,3276.705,3303.49,3251.7,47487754
20100312 000000,3277.309,3233.126,3284.26,3232.12,39957344
20100315 000000,3231.216,3183.183,3234.82,3171.8,37844304
20100316 000000,3183.775,3204.289,3204.29,3169.1,30847780
20100317 000000,3214.216,3273.916,3274,3207.27,45800934
20100318 000000,3277.883,3267.555,3295.37,3256.59,46948013
20100319 000000,3270.978,3293.871,3296.41,3251.14,46062187
20100322 000000,3297.824,3302.628,3313.92,3288.51,49439462
20100323 000000,3305.554,3275.573,3309.12,3272.92,46539536
20100324 000000,3282.052,3276.669,3298.54,3271.03,44547966
20100325 000000,3270.39,3229.128,3270.39,3222.82,44984285
20100326 000000,3226.8,3275.002,3285.39,3220.59,47444965
20100329 000000,3295.763,3358.54,3363.61,3293.67,84724910
20100330 000000,3361.353,3366.708,3372.26,3350.31,56436980
20100331 000000,3369.193,3345.607,3369.9,3338.74,53124287
20100401 000000,3349.884,3391.935,3392.48,3349.88,67772669
20100402 000000,3400.139,3407.346,3412.2,3391.81,69073452
20100406 000000,3422.849,3405.145,3436.29,3386.89,65191710
20100407 000000,3403.088,3386.949,3404.58,3369.02,54011228
20100408 000000,3381.306,3346.744,3381.31,3336.16,62185322
20100409 000000,3348.773,3379.17,3379.4,3342.47,51280567
20100412 000000,3388.355,3351.478,3393.56,3330.3,74565150
20100413 000000,3350.726,3391.716,3401.707,3324.048,79907695
20100414 000000,3394.635,3403.707,3404.52,3377.44,60306131
20100415 000000,3407.025,3394.574,3412.94,3365.88,61051685
20100416 000000,3388.286,3356.332,3388.29,3348.78,47140368
20100419 000000,3313.499,3176.423,3313.5,3175.44,88416300
20100420 000000,3176.414,3173.374,3196.65,3130.96,64137859
20100421 000000,3178.877,3236.679,3237.54,3164.76,66928331
20100422 000000,3222.68,3201.541,3231.99,3177.73,71081688
20100423 000000,3198.784,3190.003,3224.74,3172.58,61252679
20100426 000000,3195.457,3171.997,3207.72,3168.37,50894199
20100427 000000,3163.101,3108.409,3163.1,3060.85,65296574
20100428 000000,3080.324,3097.353,3122.11,3062.09,45995406
20100429 000000,3114.941,3060.694,3130.7,3059.8,48260971
