,date,open,close,high,low,volume,code
0,2010-01-04,3289.75,3243.76,3295.28,3243.32,109447927.0,sh
1,2010-01-05,3254.468,3282.179,3290.51,3221.46,126115066.0,sh
2,2010-01-06,3277.517,3254.215,3295.87,3253.04,123651384.0,sh
3,2010-01-07,3253.991,3192.776,3268.82,3176.71,128652827.0,sh
4,2010-01-08,3177.259,3195.997,3198.92,3149.02,98377147.0,sh
5,2010-01-11,3301.611,3212.75,3306.75,3197.33,136327216.0,sh
6,2010-01-12,3205.705,3273.966,3275.2,3180.09,140655241.0,sh
7,2010-01-13,3204.976,3172.658,3232.82,3165.49,158344278.0,sh
8,2010-01-14,3183.381,3215.55,3219.02,3165.6,135954504.0,sh
9,2010-01-15,3217.19,3224.152,3241.82,3197.22,120541135.0,sh
10,2010-01-18,3213.637,3237.098,3238.24,3202.21,135067238.0,sh
11,2010-01-19,3242.216,3246.874,3268.81,3236.84,129943532.0,sh
12,2010-01-20,3252.037,3151.85,3255.13,3148.33,158243112.0,sh
13,2010-01-21,3154.189,3158.863,3176.15,3126.9,114337079.0,sh
14,2010-01-22,3118.724,3128.588,3147.83,3062.63,137758538.0,sh
15,2010-01-25,3103.32,3094.411,3137.0,3092.93,78361862.0,sh
16,2010-01-26,3094.848,3019.394,3107.2,3001.96,93507092.0,sh
17,2010-01-27,3020.54,2986.607,3028.65,2972.63,76552214.0,sh
18,2010-01-28,2985.214,2994.143,3006.04,2963.89,73365767.0,sh
19,2010-01-29,2979.743,2989.292,3024.85,2968.45,80475875.0,sh
20,2010-02-01,2981.374,2941.36,2981.37,2912.89,88147114.0,sh
21,2010-02-02,2955.753,2934.713,2990.75,2930.56,82485789.0,sh
22,2010-02-03,2945.034,3003.835,3005.13,2890.02,101022537.0,sh
23,2010-02-04,2983.05,2995.308,3015.13,2968.68,99918364.0,sh
24,2010-02-05,2936.197,2939.402,2959.23,2918.91,97274989.0,sh
25,2010-02-08,2936.452,2935.174,2954.27,2922.19,63299582.0,sh
26,2010-02-09,2932.09,2948.842,2957.47,2929.21,62282207.0,sh
27,2010-02-10,2967.138,2982.5,2983.18,2958.22,55588005.0,sh
28,2010-02-11,2985.082,2985.499,3001.64,2976.08,56646305.0,sh
29,2010-02-12,2996.088,3018.133,3018.86,2993.44,56092124.0,sh
30,2010-02-22,3016.703,3003.398,3026.66,3002.81,68505143.0,sh
31,2010-02-23,2998.907,2982.575,2998.91,2938.75,80392858.0,sh
32,2010-02-24,2964.984,3022.177,3023.74,2955.07,92918962.0,sh
33,2010-02-25,3026.656,3060.618,3063.0,3022.37,119670781.0,sh
34,2010-02-26,3053.498,3051.943,3067.53,3041.69,101296291.0,sh
35,2010-03-01,3057.006,3087.842,3093.09,3054.55,111038878.0,sh
36,2010-03-02,3089.706,3073.108,3095.99,3060.96,105327647.0,sh
37,2010-03-03,3074.099,3097.005,3098.46,3061.47,117156519.0,sh
38,2010-03-04,3098.069,3023.373,3102.4,3016.22,126383889.0,sh
39,2010-03-05,3026.639,3031.065,3044.17,3011.09,92259665.0,sh
40,2010-03-08,3036.415,3053.232,3058.83,3030.91,81011950.0,sh
41,2010-03-09,3053.26,3069.141,3084.85,3028.69,92381803.0,sh
42,2010-03-10,3067.15,3048.927,3085.99,3034.74,84612953.0,sh
43,2010-03-11,3050.644,3051.282,3070.93,3025.31,79872195.0,sh
44,2010-03-12,3051.474,3013.412,3057.52,3011.97,71418912.0,sh
45,2010-03-15,3010.722,2976.939,3013.52,2963.49,63749768.0,sh
46,2010-03-16,2974.487,2993.838,2993.84,2963.44,59627991.0,sh
