Date,Open,Close,High,Low,Volume
20100104 000000,13766.096,13533.537,13782.81,13533.54,56504336
20100105 000000,13539.825,13517.375,13597.36,13324.56,70287297
20100106 000000,13509.39,13505.184,13677.4,13456.29,68658416
20100107 000000,13514.636,13235.48,13571.35,13148.25,71416711
20100108 000000,13180.895,13267.436,13270.63,13040.34,56299476
20100111 000000,13559.279,13161.09,13606.23,13089.88,68406110
20100112 000000,13187.393,13381.25,13381.25,12993.23,75598165
20100113 000000,13031.554,13016.557,13227.96,12936.32,82629151
20100114 000000,13037.804,13204.189,13222.22,12965.79,80016155
20100115 000000,13247.654,13264.372,13320.4,13118.25,72136831
20100118 000000,13234.109,13361.518,13373.11,13175.93,73867371
20100119 000000,13389.592,13350.671,13433.06,13318.35,73890169
20100120 000000,13375.529,12916.154,13389.93,12871.58,87881955
20100121 000000,12928.517,12917.154,12982.88,12732.96,58537485
20100122 000000,12756.921,12595.935,12756.92,12394.07,66710582
20100125 000000,12506.141,12470.188,12640.73,12458.56,43927959
20100126 000000,12496.107,12162.556,12536.47,12091.09,50801980
20100127 000000,12157.136,12046.779,12233.12,11946.49,41491403
20100128 000000,12008.962,12120.476,12166.47,11903.99,40853992
20100129 000000,12058.699,12137.204,12339.06,11998.66,49166143
20100201 000000,12125.509,11989.107,12126.26,11841.96,50930927
20100202 000000,12035.931,11912.927,12173.91,11912.93,45147647
20100203 000000,11961.115,12262.567,12262.57,11714.16,59080198
20100204 000000,12177.147,12169.479,12283.52,12112.93,62469916
20100205 000000,11892.313,11917.136,12018.39,11823.07,63989412
20100208 000000,11900.1,11947.336,11997.66,11847.02,40625586
20100209 000000,11935.801,11970.438,12037.32,11900.28,36331175
20100210 000000,12082.997,12185.378,12185.38,12051.16,32819204
20100211 000000,12178.951,12224.6,12297.41,12152.35,31454902
20100212 000000,12259.472,12304.784,12327.93,12241.61,30363403
20100222 000000,12299.112,12213.544,12337.77,12213.54,36432617
20100223 000000,12185.935,12069.209,12185.93,11922.73,44504119
20100224 000000,11994.949,12282.093,12282.09,11936.95,57969901
20100225 000000,12324.943,12494.269,12495.99,12324.94,69446955
20100226 000000,12472.995,12436.655,12527.02,12417.24,62386144
20100301 000000,12480.811,12588.26,12599.27,12454.03,67241217
20100302 000000,12595.321,12548.91,12690.48,12517.28,69717496
20100303 000000,12544.024,12612.693,12612.69,12444.2,72855160
20100304 000000,12647.988,12312.889,12720.36,12292.28,81802938
20100305 000000,12312.74,12341.739,12433.57,12268.56,53585344
20100308 000000,12376.327,12437.567,12470.87,12327.72,48413786
20100309 000000,12440.212,12507.657,12569.56,12289.96,55894165
20100310 000000,12496.775,12391.645,12553.97,12363.41,50723123
20100311 000000,12399.766,12367.687,12468.93,12277.19,45443923
20100312 000000,12364.569,12170.441,12376.59,12167.34,42756108
20100315 000000,12154.531,11903.333,12158.87,11866.99,36579873
20100316 000000,11931.321,11948.76,11985.03,11835.62,34020412
20100317 000000,12007.795,12233.774,12233.77,11975.58,50836917
20100318 000000,12257.846,12236.725,12354.93,12198.08,54081552
20100319 000000,12265.297,12352.919,12361.21,12185.45,54278958
20100322 000000,12358.032,12352.446,12411.22,12304.5,55798798
