Date,Open,Close,High,Low,Volume
20100104 000000,2565.108,2514.646,2570.15,2514.24,27327443
20100105 000000,2526.291,2543.991,2560.67,2487.05,35377438
20100106 000000,2538.285,2514.014,2549.57,2513.36,29646151
20100107 000000,2516.057,2463.758,2527.43,2450.4,32043185
20100108 000000,2453.061,2466.165,2470.02,2432.01,22683410
20100111 000000,2584.528,2478.81,2584.53,2467.67,40841194
20100112 000000,2472.623,2508.039,2513.3,2435.16,38048146
20100113 000000,2444.237,2399.642,2457.9,2396.47,49558854
20100114 000000,2412.634,2422.771,2428.7,2384.17,30562214
20100115 000000,2423.13,2427.807,2445.2,2402.9,25994928
20100118 000000,2414.893,2421.188,2421.89,2398.78,30936344
20100119 000000,2424.469,2432.713,2450.28,2424.16,27829076
20100120 000000,2436.647,2359.485,2439.47,2356.16,34748485
20100121 000000,2362.597,2377.753,2391.51,2346.15,29196147
20100122 000000,2344.973,2380.055,2398.99,2317.48,40639272
20100125 000000,2355.357,2353.471,2389.63,2350.01,20749880
20100126 000000,2354.905,2311.447,2363.41,2296.88,24700383
20100127 000000,2313.007,2264.605,2319.99,2260.56,22280212
20100128 000000,2263.061,2252.61,2267.85,2235.6,19023456
20100129 000000,2241.117,2243.994,2276.77,2231.65,18626036
20100201 000000,2238.617,2208.936,2238.9,2182.95,22082437
20100202 000000,2223.598,2214.033,2261.63,2210.7,19640116
20100203 000000,2226.797,2277.798,2278.47,2190.43,24836450
20100204 000000,2258.084,2261.358,2276.47,2247.64,17182667
20100205 000000,2212.308,2219.6,2233.32,2204.93,18456182
20100208 000000,2220.842,2211.135,2233.14,2201.8,12006796
20100209 000000,2210.328,2229.038,2234.53,2207.85,10541683
20100210 000000,2246.77,2259.99,2260.48,2239.18,12084848
20100211 000000,2261.823,2265.138,2275.76,2254.97,12535479
20100212 000000,2275.592,2284.386,2286.68,2270.76,13026260
20100222 000000,2282.09,2269.045,2291.78,2268.09,13688359
20100223 000000,2261.993,2227.952,2261.99,2202.21,15276395
20100224 000000,2211.393,2251.7,2252.65,2204.68,16815352
20100225 000000,2254.801,2282.64,2286.92,2251.96,24186779
20100226 000000,2278.432,2274.325,2288.6,2270.77,15274059
20100301 000000,2282.338,2311.075,2316.38,2281.7,19312675
20100302 000000,2312.492,2302.185,2320.31,2293.92,15212338
20100303 000000,2304.056,2311.841,2312.42,2287.04,15845846
20100304 000000,2312.299,2261.926,2312.78,2259.18,19620716
20100305 000000,2264.678,2267.939,2276.76,2258.96,13347537
20100308 000000,2272.607,2284.682,2290.09,2265.2,12375553
20100309 000000,2284.024,2302.393,2315.36,2266.82,18752094
20100310 000000,2301.705,2292.503,2318.31,2286.18,16264503
20100311 000000,2296.931,2300.043,2316.38,2282.89,18310782
20100312 000000,2300.613,2274.532,2306.99,2273.86,14256317
20100315 000000,2274.714,2240.731,2276.45,2232.95,13912403
20100316 000000,2239.427,2261.761,2262.01,2234.67,11551315
20100317 000000,2266.958,2307.083,2307.4,2260.1,17223846
20100318 000000,2307.257,2294.947,2318.05,2288.89,15810293
20100319 000000,2296.776,2310.546,2313.03,2282.38,15390760
20100322 000000,2314.442,2316.631,2330.67,2310.07,19207858
