Date,Open,Close,High,Low,Volume
20160219 000000,2854.9,2860.02,2872.72,2840.49,163391413
20160222 000000,2888.6,2927.18,2933.96,2880.35,232176042
20160223 000000,2925.71,2903.33,2928.05,2872.28,199740663
20160224 000000,2889.88,2928.9,2929.87,2872.27,213410384
20160225 000000,2922.24,2741.25,2922.24,2729.85,270284416
20160226 000000,2760.06,2767.21,2784.75,2715.87,191110472
20160229 000000,2754.81,2687.98,2755.89,2638.96,207410709
20160301 000000,2688.38,2733.17,2747.56,2668.76,187207443
20160302 000000,2733.77,2849.68,2852.7,2732.54,270961783
20160303 000000,2847.33,2859.76,2878.45,2840.87,287478210
20160304 000000,2848.54,2874.15,2880.37,2808.85,312495169
20160307 000000,2886.64,2897.34,2911.84,2871.35,217466836
20160308 000000,2895.67,2901.39,2902.62,2802.56,233482661
20160309 000000,2839.41,2862.56,2863.01,2811.72,183355383
20160310 000000,2847.57,2804.73,2863.18,2803.48,138979461
20160311 000000,2781.6,2810.31,2815.61,2772.55,127247554
20160314 000000,2830.08,2859.5,2889.82,2823.03,194816030
20160315 000000,2853.98,2864.37,2865.79,2819.79,163386667
20160316 000000,2858.71,2870.43,2881.53,2854.19,186492535
20160317 000000,2875.41,2904.83,2921,2857.19,200290213
20160318 000000,2915.52,2955.15,2971.55,2908.74,313332735
20160321 000000,2978.46,3018.8,3028.32,2973.76,352400438
20160322 000000,3001.63,2999.36,3019.1,2988.43,270377322
20160323 000000,2991.17,3009.96,3012.56,2980.86,216977462
20160324 000000,2986.8,2960.97,2998.15,2960.54,237006403
20160325 000000,2956.2,2979.43,2981.41,2952.11,175074344
20160328 000000,2988.01,2957.82,3008.17,2948.53,202021241
20160329 000000,2956.71,2919.83,2962.2,2905.25,182965345
20160330 000000,2941.22,3000.65,3001.11,2941.22,210371451
20160331 000000,3009.37,3003.92,3023.41,2992.92,220413445
20160401 000000,2997.09,3009.53,3009.67,2956.25,206545866
20160405 000000,3000.94,3053.07,3057.33,2993.15,256730344
20160406 000000,3039.74,3050.59,3059.79,3029,232262051
20160407 000000,3058.34,3008.42,3062.36,3007.06,220919506
20160408 000000,2988.2,2984.96,2996.17,2960.46,187904633
20160411 000000,3006.91,3033.96,3048.98,3006.91,220018324
20160412 000000,3031.3,3023.65,3036.82,3001.32,182718668
20160413 000000,3041.36,3066.64,3097.16,3041.36,310003246
20160414 000000,3080.09,3082.36,3086.7,3056.99,208237830
20160415 000000,3085.03,3078.12,3089.95,3066.87,189613051
20160418 000000,3058.46,3033.66,3058.46,3022.97,183304512
20160419 000000,3047.13,3042.82,3054.5,3024.9,156533200
20160420 000000,3050.38,2972.58,3055.69,2905.05,283144219
20160421 000000,2954.37,2952.89,2990.67,2943.46,189406849
20160422 000000,2933.03,2959.24,2960.21,2926.78,137211668
20160425 000000,2949.97,2946.67,2954.09,2917.02,125856243
20160426 000000,2944.72,2964.7,2965.43,2933.97,117711604
20160427 000000,2967.19,2953.67,2976.02,2949.43,130867640
20160428 000000,2955.74,2945.59,2959.51,2916.37,138663274
20160429 000000,2935.38,2938.32,2950.58,2930.36,109310628
20160503 000000,2940.39,2992.64,2993.53,2929.81,168703643
20160504 000000,2983.03,2991.27,3004.42,2978.33,165407106
20160505 000000,2987.02,2997.84,2999.12,2977.2,144831383
20160506 000000,2998.4,2913.25,3003.59,2913.04,206796498
20160509 000000,2896.16,2832.11,2896.16,2821.83,180378330
20160510 000000,2822.33,2832.59,2845.24,2820.16,120829310
20160511 000000,2843.54,2837.04,2857.25,2818.7,135795466
20160512 000000,2812.11,2835.86,2839.28,2781.24,136337655
20160513 000000,2828.46,2827.11,2850.09,2814.11,114319710
20160516 000000,2816.78,2850.86,2851.23,2804.99,114653592
20160517 000000,2850.93,2843.68,2860.32,2832.46,123369064
20160518 000000,2828.18,2807.51,2828.26,2781.42,140487826
20160519 000000,2802.31,2806.91,2829.4,2801.55,111595071
20160520 000000,2792.89,2825.48,2825.95,2785.08,108700899
20160523 000000,2826.31,2843.65,2848.07,2826.26,120470455
20160524 000000,2839.68,2821.67,2839.7,2807.19,111452445
20160525 000000,2835.03,2815.09,2843.17,2807.75,103527265
20160526 000000,2813.54,2822.44,2827.09,2780.76,114766797
20160527 000000,2817.97,2821.05,2832.8,2809.8,109845823
20160530 000000,2814.65,2822.45,2830.97,2794.66,106319589
20160531 000000,2822.59,2916.62,2917.14,2822.59,215260341
20160601 000000,2917.15,2913.51,2929.08,2909.51,188386421
20160602 000000,2911.22,2925.23,2925.67,2906.52,159716916
20160603 000000,2929.79,2938.68,2945.52,2915.19,172021023
20160606 000000,2940.99,2934.1,2945.94,2922.28,141993742
20160607 000000,2936.28,2936.04,2938.44,2923.5,132987867
20160608 000000,2932.38,2927.16,2937.99,2908.37,143046071
20160613 000000,2897.27,2833.07,2911.16,2832.51,169255434
20160614 000000,2824.23,2842.19,2843.46,2822.06,119755274
20160615 000000,2814.69,2887.21,2894.26,2811.78,166671069
20160616 000000,2878.4,2872.82,2887.74,2865.39,173882767
20160617 000000,2873.01,2885.1,2900.3,2872.18,171472517
20160620 000000,2887.64,2888.81,2891.66,2864.02,136571051
20160621 000000,2898.38,2878.56,2919.3,2869.18,164359089
20160622 000000,2872.73,2905.55,2905.98,2869.51,130590424
20160623 000000,2902.4,2891.96,2904.11,2878.66,136137375
20160624 000000,2883.76,2854.29,2899.57,2807.6,190842609
20160627 000000,2840.56,2895.7,2895.73,2840.28,156697472
20160628 000000,2885.01,2912.56,2913.58,2878.82,173871047
20160629 000000,2918.53,2931.59,2934,2915.06,193215586
20160630 000000,2931.48,2929.61,2938.14,2922.31,154464930
20160701 000000,2931.8,2932.48,2944.99,2925.81,141246227
20160704 000000,2924.29,2988.6,2992.5,2922.52,222017132
20160705 000000,2991.75,3006.39,3010.27,2990.64,235204450
20160706 000000,2998.52,3017.29,3017.65,2984.83,212370920
20160707 000000,3009.35,3016.85,3024.11,2994.64,222681667
20160708 000000,3000.33,2988.09,3001.55,2983.88,168986859
20160711 000000,2993.75,2994.92,3022.94,2990.91,224338224
20160712 000000,2992.52,3049.38,3049.68,2984.42,259486295
20160713 000000,3049.51,3060.69,3069.05,3048.2,253659384
20160714 000000,3054.97,3054.02,3057.05,3036.52,180194804
20160715 000000,3056.68,3054.3,3062.68,3044.54,172866398
20160718 000000,3047.64,3043.56,3058.32,3031.64,177496562
20160719 000000,3040.23,3036.6,3043.6,3014.29,155361466
20160720 000000,3034.71,3027.9,3043,3022.63,138242815
20160721 000000,3027.6,3039.01,3053.33,3027.37,163767370
20160722 000000,3038.12,3012.82,3039.27,3007.46,162010181
20160725 000000,3008.09,3015.83,3027.12,3003.29,144206582
20160726 000000,3014.04,3050.17,3050.61,3013.8,156694506
20160727 000000,3050.37,2992,3057.42,2939.23,280160915
20160728 000000,2980.5,2994.32,3003.36,2968.18,190564950
20160729 000000,2992.54,2979.34,3000.05,2972.92,150101534
20160801 000000,2971.95,2953.39,2972.88,2931.96,147407763
20160802 000000,2950.08,2971.28,2971.28,2946.64,115468900
20160803 000000,2963.21,2978.46,2981.16,2956.79,141141332
20160804 000000,2976.41,2982.43,2982.86,2958.93,133933301
20160805 000000,2978.78,2976.7,2991.68,2971.56,141857101
20160808 000000,2972.62,3004.28,3004.72,2959.05,155729833
20160809 000000,3001.31,3025.68,3025.91,2998.68,169995446
20160810 000000,3023.47,3018.75,3033.2,3017.09,164675165
20160811 000000,3013.68,3002.64,3038.05,3001.17,161879481
20160812 000000,3000.27,3050.67,3051.05,2999.04,168173657
20160815 000000,3056.48,3125.2,3137.48,3053.87,297616506
20160816 000000,3130.53,3110.04,3140.44,3102.07,278328934
20160817 000000,3106.99,3109.55,3114.25,3090.28,213839637
20160818 000000,3107.75,3104.11,3125.58,3093.32,229359081
20160819 000000,3100.39,3108.1,3113.34,3082.77,194347453
20160822 000000,3107.38,3084.81,3112.74,3083.59,185387927
20160823 000000,3081.57,3089.71,3101.11,3073.53,161368965
20160824 000000,3092.02,3085.88,3097.15,3079.55,145707440
20160825 000000,3073.44,3068.33,3073.44,3041.51,174032980
20160826 000000,3069.85,3070.31,3087.65,3063.89,149663901
20160829 000000,3068.46,3070.03,3074.94,3058.79,144500007
20160830 000000,3071.44,3074.68,3082.99,3065.97,140434811
20160831 000000,3072.92,3085.49,3087.7,3063.4,141368609
20160901 000000,3083.96,3063.31,3088.7,3062.88,155191093
20160902 000000,3057.49,3067.35,3072.53,3050.49,150446920
20160905 000000,3070.71,3072.1,3085.49,3065.33,144963317
20160906 000000,3071.06,3090.71,3095.51,3053.19,172908524
20160907 000000,3091.33,3091.93,3105.68,3087.88,186956763
20160908 000000,3089.95,3095.95,3096.78,3083.9,145883771
20160909 000000,3095.43,3078.85,3101.79,3078.22,160692924
20160912 000000,3037.51,3021.98,3040.95,2999.93,206012086
20160913 000000,3025.03,3023.51,3029.72,3008.74,135387580
20160914 000000,3008.9,3002.85,3017.94,2995.42,133413401
20160919 000000,3005.32,3026.05,3026.65,3005.32,119225027
20160920 000000,3027.17,3023,3027.82,3015.88,118924117
20160921 000000,3021.58,3025.87,3032.45,3017.54,115721213
20160922 000000,3038.42,3042.31,3054.44,3035.07,139309554
20160923 000000,3044.79,3033.9,3046.8,3032.8,125590976
20160926 000000,3028.24,2980.43,3028.24,2980.12,144330286
20160927 000000,2974.59,2998.17,2998.23,2969.13,121701450
20160928 000000,3000.7,2987.86,3000.7,2984.32,104625697
20160929 000000,2992.17,2998.48,3009.2,2991.91,113213919
20160930 000000,2994.25,3004.7,3009.2,2993.06,101333562
20161010 000000,3020.46,3048.14,3048.24,3014.62,160051104
20161011 000000,3051.62,3065.25,3066.1,3048.02,167273496
20161012 000000,3057.32,3058.5,3060.51,3048.89,142493577
20161013 000000,3057.97,3061.35,3065,3052.64,154756725
20161014 000000,3056.99,3063.81,3064.79,3043.18,155373705
